# Frequenz/Hz, Ugpp/V, Uepp/V, UApp/V
  100,  209e-3,  23e-3, 20
  200,  207e-3,  23e-3, 20
  500,  207e-3,  30e-3, 20
  750,  207e-3,  35e-3, 20
 1000,  207e-3,  40e-3, 20
 1500,  207e-3,  50e-3, 19.0
 2000,  207e-3,  60e-3, 19.0
 2500,  207e-3,  75e-3, 19.5
 3000,  207e-3,  85e-3, 19.5
 3500,  207e-3,  95e-3, 19.5
 4000,  207e-3, 105e-3, 18
 4500,  207e-3, 110e-3, 18.7
 5000,  207e-3, 125e-3, 18.3
 5500,  207e-3, 140e-3, 18
 6000,  207e-3, 150e-3, 17.5
 6500,  207e-3, 160e-3, 17.3
 7000,  207e-3, 170e-3, 16.9
 7500,  207e-3, 185e-3, 16.5
 8500,  207e-3, 195e-3, 16.3
 9000,  207e-3, 200e-3, 15.7
10000,  207e-3, 215e-3, 14.7
